process_step,total,汽车制造业,文教、工美、体育和娱乐用品制造业,电气机械和器材制造业,专用设备制造业,非金属矿物制品业,食品制造业,通用设备制造业,铁路、船舶、航空航天和其他运输设备制造业,医药制造业,纺织业,有色金属冶炼和压延加工业,皮革、毛皮、羽毛及其制品和制鞋业,化学纤维制造业,农副食品加工业,酒、饮料和精制茶制造业
校准调试,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
老化筛选,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
辐照处理,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
清洗处理,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
液化储存,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
巡检维护,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
消毒,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
原料验收,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
解包散叶,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
成品包装,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
成品检测,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
条盒包装,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
件箱包装,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
细纱,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
印花,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
索绪,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
穿综穿筘,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
整经,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
填充铺展,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
绗缝,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
折叠,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
卷取,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
卷盘,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
精梳制条,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
脱胶,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
卷绑,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
定型,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
质量检验,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
面料检验,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
配对分装,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
复鞣染色,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
干燥,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
检验包装,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
裁切下料,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
缝制成型,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
五金安装,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
削薄折边,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
鞣制处理,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
拉伸定型,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
精分选分级,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
